topic	topic_words	senti_score	top_remarks
1	['place.', 'feel', 'experience', 'place,', 'full', 'Everything', 'unique', 'little', 'Very', 'place', 'absolutely', 'service,']	0.4	special magical truly
2	['stay', 'much', 'staff', 'This', 'days', 'All', 'Many']	1.2	Thank wonderful beautiful love Thanks
3	['And', 'ï¿½', 'since', 'reception', 'attention', 'years', 'received', 'wine', 'repeat', 'keep', 'never', 'children', 'Food']	0.2	lovely care
4	['come', 'back', 'place', 'experience.', 'room,', 'back.', 'people', 'team.', 'food,']	1.2	amazing loved excellent place! Fantastic
5	['would', 'One', 'next', 'definitely', 'get', 'hotel.', 'bit', 'think', 'making', 'two', 'different', 'honeymoon']	0.5	like perfect good
6	['The', 'room', 'hotel', 'restaurant', 'staff', 'beach', 'dinner', 'rooms', 'service', 'tea']	0.9	best nice fantastic delicious wonderful
7	['The', 'also', 'food', 'team', 'kitchen', 'stayed', 'quality', 'stay.', 'guests', 'course', 'new', 'first', 'open']	0.2	friendly friendly,
8	['hotel', 'one', 'really', 'everything', 'You', 'make', 'could', 'big', 'service', 'ever', 'dream']	0.9	enjoyed enjoy great romantic
9	['Areas', 'time', 'made', 'Seixo', 'see', 'place', 'every', 'even', 'always', 'want', 'way']	0.7	thank great fantastic hope
10	['found', 'menu', 'night', 'Our', 'restaurant,', 'several', 'dishes', 'tasting', 'went', 'breakfast', 'served', 'For', 'price', 'Chef', 'without']	0.0	
